Cluster,m/z_ion_center,DT_center,Retention Time (sec)_center,Peak Intensity,Amplitude_mz,Amplitude_dt,Amplitude_rt,Sigma_rt
63,377.232816716874,23.45850361867536,9.398538727930786,2595.0,2595.0,14769.960440190649,2595.0,2.5315000000199994
64,550.9037737030984,24.48327556747663,10.374661487911622,2322.0,2322.0,2371.430376768507,2322.0,0.8897000000069992
65,533.8891639708646,24.55925,8.032999999980001,689.0,689.0,699.8156536090182,689.0,0.0
66,550.9119316830054,24.66665219600608,9.603058832732529,612.0,612.0,612.0,612.0,1.271000000009999
67,442.3485363226325,24.778698378121653,8.032999999980001,87.0,87.0,87.00000010529682,87.0,0.0
68,391.28802364982334,25.726119879107372,11.766247090144777,19436.0,19436.0,19445.602250607008,18965.87055071369,6.034794678861314
69,413.27315971136176,27.386077013205814,9.162702956900404,7547.0,7547.0,7723.289251516361,7547.0,1.271000000009999
70,523.3647190561418,28.25999306619559,9.851012644026415,1422.0,1422.0,1422.0,1422.0,1.271000000009999
71,570.4576112435615,29.28292116968881,8.03299999998,537.0,537.0,618.6992261110311,537.0,0.0
72,589.3985490924872,31.255651030403218,8.322117582660898,1820.0,1820.0,2390.4925136404804,1820.0,1.271000000009999
73,589.406987329351,31.233890666272014,10.639324184866748,4218.0,4218.0,4243.516793285246,6264.476238751257,2.722741290036728
74,848.8190735822451,38.66437601126477,10.5645,180.0,180.0,180.00000009110119,180.0,2.5315000000199994
75,879.7481930339746,39.25157607239118,11.772656568527818,3818.0,3818.0,3183.1864611530373,3836.514817299432,4.152330748426124
76,903.7548683462331,39.502300000000595,8.03299999998,261.0,261.0,261.00000054712945,261.0,0.0
77,874.7861916108437,39.56470877894615,11.458211274358396,1232.0,1232.0,1278.028584917899,1193.0693248229886,2.490235656466648
78,898.7880461948363,39.800717126619126,8.032999999980001,763.0,763.0,763.0,763.0,0.0
79,900.8211189244538,40.03645735375229,8.032999999980001,1337.0,1337.0,1354.259977085014,1337.0,0.0
80,915.8110166659426,40.16840016234317,9.777898620617485,641.0,641.0,652.013650088843,641.0,1.271000000009999
81,916.8105314151293,40.04890608740176,8.032999999980003,405.0,405.0,482.5725647877244,405.0,0.0
82,939.8219568050868,40.49683439773336,10.631099686974778,2086.0,2086.0,2030.9408141178535,2034.0232034450244,1.8040359150391794
83,941.8368930268887,40.95263650341761,10.11248378357359,1358.0,1358.0,1358.0,1358.0,5.062499999999999
84,939.8326121983924,40.75108240458,9.094812160021265,1480.0,1480.0,1227.2065198133535,1480.0,2.027300000015999
85,575.507742846249,38.646459777470575,13.742666580106336,5439.0,5439.0,4000.516593386387,5630.583979080832,2.0427191812958587
86,879.7275748233471,39.16119657552976,8.995940717273113,3076.0,3076.0,2546.22710878166,3278.9818637017333,0.8184397143760282
87,601.5354336689721,39.68101341887987,9.30499999998,717.0,717.0,717.0,717.0,0.0
88,905.7830869426614,39.59681907070187,10.923865187933725,1454.0,1454.0,1475.5234941083613,1454.0,1.2655000000200003
89,170.18809358689006,16.467028347843172,11.635342860071397,6688.0,6688.0,6712.005374913802,6688.0,1.2605000000100004
90,244.25788997471346,19.406574421397423,10.574999999999998,1415.0,1415.0,1417.6968128751855,1415.0,0.0
91,257.2123690743285,20.230000109186832,10.574999999999998,90.0,90.0,90.0000000764502,90.0,0.0
92,331.2048204650557,20.664925486866288,12.912413670383835,2664.0,2664.0,2592.7714644155226,2664.0,0.6932750000055004
93,331.21747148082454,20.828499985046612,10.575,342.0,342.0,342.0000005998871,342.0,0.0
94,307.2446788151874,21.260897432233467,10.575,1929.0,1929.0,1887.3647744829934,1929.0,0.0
95,308.23853441017866,21.427000000372644,10.575,396.0,396.0,396.0000000926337,396.0,0.0
96,288.28262937863536,22.375480079381436,13.744393448620851,7399.0,7399.0,7313.642738066945,7399.0,2.520999999990001
97,391.31552533460234,25.257500000001787,10.575,213.0,213.0,213.00000026605343,213.0,0.0
98,391.30177437140577,25.700857680380764,20.497004259366616,3741.0,3741.0,3806.9565143277396,4127.112547437416,5.230936951494116
99,413.2590282058267,26.07670878197615,12.771959809026399,8625.0,8625.0,8019.891472565278,15168.74078982794,2.060796952266036
100,523.3567676532768,28.250099999981572,10.575,306.0,306.0,306.0000002956371,306.0,0.0
101,848.7583167033615,38.66440745132543,10.575,279.0,279.0,279.00000053218787,279.0,0.0
102,879.7997395813325,39.22087178350026,10.575,362.0,362.0,362.26346015502986,362.0,0.0
103,915.8215350691747,40.26060878781869,11.728026526742534,1771.0,1771.0,1699.0284459558077,1771.0,2.520999999990001
104,939.8113015382726,40.656592826483575,10.969631684671658,543.0,543.0,543.0,543.0,1.0084000000079998
105,331.2111459495534,47.40280000478182,10.575,78.0,78.0,78.00000006886641,78.0,0.0
106,109.10021171800545,18.21495,11.836000000019999,221.0,221.0,245.6910697291114,221.0,0.0
107,109.09658133907391,22.35866174581395,39.015696857823734,2496.0,2496.0,2454.2832592831583,2309.871186974308,33.457976769172134
108,109.10021171800545,22.33455501211136,11.83600000002,751.0,751.0,753.1318677379423,751.0,0.0
109,319.27065617669734,23.570572860224004,11.693774827056998,1575.0,1575.0,1593.566771861275,1575.5825958404796,5.229476520047289
110,474.8706332308828,24.419600003577656,11.83600000002,333.0,333.0,333.000000935967,333.0,0.0
111,879.7688114862112,39.11616682777817,13.16012357444278,1125.0,1125.0,1203.675175367275,1125.0,1.8904999999800003
112,123.11578237173913,14.069713393271304,1.9092257416888365,4995.0,4995.0,4995.0,9347.051443245278,9.99278464294187
113,179.03309529909237,14.928333242031817,13.09600000002,2027.0,2027.0,2033.2271677623658,2027.0,0.0
114,160.16531128241286,15.729240517618475,13.732254031074133,33891.0,33891.0,34004.38890753448,33837.77220095703,3.6924078655409467
115,217.07344342006536,18.73423557802354,13.09600000002,1747.0,1747.0,1747.0,1747.0,0.0
