Spectrum Number,MS Level,DT,Retention Time (sec),Min m/z,Base Peak m/z,Base Peak Intensity,CCS (Å^2),Cluster
62,1,12.337752,3.2489999999999997,92.92291471368364,141.01658740170942,61.0,102.38963990251379,35
63,1,12.697104,3.2489999999999997,248.95010467376844,248.97201716935407,767.0,97.40986859336218,36
64,1,12.816888,3.2489999999999997,248.95010467376844,248.97201716935407,4232.0,98.32394739569769,36
65,1,12.936672,3.2489999999999997,116.96936405803875,248.97201716935407,8818.0,104.74660325664114,37
66,1,13.056456,3.2489999999999997,116.96936405803875,248.97201716935407,10851.0,105.7114214147782,37
67,1,13.17624,3.2489999999999997,116.96936405803875,248.97201716935407,7387.0,106.67623957291524,37
68,1,13.296024,3.2489999999999997,248.95010467376844,248.97201716935407,2801.0,101.98026260503968,38
69,1,14.134512,3.2489999999999997,61.98936935492852,61.99210290766338,26.0,123.80745445762948,39
70,1,14.254296,3.2489999999999997,61.98936935492852,61.99210290766338,26.0,124.85166010339029,39
71,1,14.37408,3.2489999999999997,61.98936935492852,61.99210290766338,26.0,125.89586574915111,39
72,1,14.493864,3.2489999999999997,116.96936405803875,116.97311908240987,50.0,117.28923931242277,40
73,1,14.613648,3.2489999999999997,61.98663586246479,61.98936935492852,57.0,127.98515520835298,41
74,1,14.733432,3.2489999999999997,61.98390243027217,61.98936935492852,149.0,129.030253403974,42
75,1,14.853216,3.2489999999999997,61.98390243027217,61.98936935492852,234.0,130.0744733798518,42
76,1,14.973,3.2489999999999997,61.98390243027217,61.98936935492852,224.0,131.11869335572965,42
77,1,15.092784,3.2489999999999997,61.98390243027217,61.98936935492852,132.0,132.16291333160746,42
78,1,15.212568,3.2489999999999997,61.98390243027217,337.9004208640436,99.0,133.20713330748526,42
79,1,15.332352,3.2489999999999997,337.8812750706891,337.9068029887719,107.0,115.94514306316043,43
80,1,15.452136,3.2489999999999997,337.8876569050058,337.9068029887719,66.0,116.84689110706269,44
81,1,15.57192,3.2489999999999997,337.9004208640436,337.9068029887719,22.0,117.74855273783442,45
82,1,16.051056,3.2489999999999997,234.86311571359,238.87063761001627,54.0,123.37653368468558,46
83,1,16.17084,3.2489999999999997,234.86311571359,240.87094611800308,198.0,124.29338033462732,46
84,1,16.290624,3.2489999999999997,234.86311571359,240.87094611800308,469.0,125.21022698456908,46
85,1,16.410408,3.2489999999999997,234.85779496313168,240.87094611800308,651.0,126.12722585024427,47
86,1,16.530192,3.2489999999999997,234.85779496313168,240.87094611800308,453.0,127.04407360667712,47
87,1,16.649976,3.2489999999999997,188.9348492178344,240.87094611800308,182.0,129.60719733514875,48
88,1,16.76976,3.2489999999999997,188.9348492178344,188.93962150117991,75.0,130.5358407586912,48
89,1,16.889544,3.2489999999999997,188.9348492178344,188.93962150117991,75.0,131.4644841822336,48
90,1,17.009328,3.2489999999999997,61.98390243027217,188.94439384535886,48.0,148.87043294565262,49
91,1,17.129112,3.2489999999999997,61.98390243027217,61.98663586246479,55.0,149.91465292153043,49
92,1,17.248896,3.2489999999999997,61.98390243027217,61.98663586246479,55.0,150.95887289740824,49
93,1,17.36868,3.2489999999999997,61.98390243027217,61.98663586246479,30.0,152.00309287328608,49
94,1,17.728032,3.2489999999999997,59.010957116127756,59.01362418982685,41.0,156.34719490956707,50
95,1,17.847816,3.2489999999999997,59.010957116127756,59.01362418982685,41.0,157.39956911183458,50
96,1,17.9676,3.2489999999999997,59.010957116127756,59.01362418982685,114.0,158.45194331410207,50
97,1,18.087384,3.2489999999999997,59.010957116127756,59.01362418982685,151.0,159.50431751636953,50
98,1,18.207168,3.2489999999999997,59.010957116127756,217.00323203205394,268.0,160.556691718637,50
99,1,18.326952,3.2489999999999997,59.010957116127756,217.00323203205394,390.0,161.6090659209045,50
100,1,18.446736,3.2489999999999997,59.010957116127756,141.01658740170942,415.0,162.66144012317199,50
101,1,18.56652,3.2489999999999997,59.010957116127756,141.01658740170942,518.0,163.71381432543947,50
102,1,18.686304,3.2489999999999997,59.010957116127756,141.01658740170942,650.0,164.76618852770696,50
103,1,18.806088,3.2489999999999997,59.010957116127756,141.01658740170942,737.0,165.81856272997442,50
104,1,18.925872,3.2489999999999997,59.00829010269978,141.01658740170942,808.0,166.87215062860324,51
105,1,19.045656,3.2489999999999997,59.00829010269978,141.01658740170942,774.0,167.92453248506604,51
106,1,19.16544,3.2489999999999997,59.00829010269978,141.01658740170942,793.0,168.9769143415288,51
107,1,19.285224,3.2489999999999997,59.00829010269978,141.01658740170942,808.0,170.02929619799156,51
108,1,19.405008,3.2489999999999997,59.010957116127756,141.01658740170942,865.0,171.08043374131182,52
109,1,19.524792,3.2489999999999997,59.010957116127756,141.01658740170942,931.0,172.13280794357934,52
110,1,19.644576,3.2489999999999997,59.010957116127756,141.01658740170942,1073.0,173.18518214584682,52
111,1,19.76436,3.2489999999999997,59.010957116127756,141.01658740170942,1223.0,174.23755634811428,52
112,1,19.884144,3.2489999999999997,59.010957116127756,141.01658740170942,1267.0,175.28993055038177,52
113,1,20.003928,3.2489999999999997,59.010957116127756,141.01658740170942,1260.0,176.34230475264926,52
114,1,20.123712,3.2489999999999997,59.010957116127756,141.01658740170942,1269.0,177.39467895491674,52
115,1,20.243496,3.2489999999999997,59.010957116127756,141.01658740170942,1355.0,178.44705315718423,52
116,1,20.36328,3.2489999999999997,59.01362418982685,141.01658740170942,1375.0,179.49812189175606,53
117,1,20.483064,3.2489999999999997,59.010957116127756,141.01658740170942,1368.0,180.55180156171917,52
118,1,20.602848,3.2489999999999997,59.010957116127756,141.01658740170942,1371.0,181.6041757639867,52
119,1,20.722632,3.2489999999999997,59.010957116127756,141.01658740170942,1452.0,182.65654996625418,52
120,1,20.842416,3.2489999999999997,59.010957116127756,141.01658740170942,1490.0,183.70892416852163,52
121,1,20.9622,3.2489999999999997,59.00829010269978,141.01658740170942,1430.0,184.76264218847044,54
122,1,21.081984,3.2489999999999997,59.010957116127756,141.01658740170942,1313.0,185.81367257305658,52
123,1,21.201768,3.2489999999999997,59.010957116127756,141.01658740170942,1281.0,186.8660467753241,52
124,1,21.321552,3.2489999999999997,59.010957116127756,141.01658740170942,1270.0,187.91842097759158,52
125,1,21.441336,3.2489999999999997,59.010957116127756,141.01658740170942,1204.0,188.97079517985904,52
126,1,21.56112,3.2489999999999997,61.98663586246479,141.01658740170942,1045.0,188.54949822355525,55
127,1,21.680904,3.2489999999999997,59.010957116127756,141.01658740170942,953.0,191.07554358439404,52
128,1,21.800688,3.2489999999999997,59.010957116127756,141.01658740170942,930.0,192.1279177866615,52
129,1,21.920472,3.2489999999999997,59.010957116127756,141.01658740170942,969.0,193.18029198892899,52
130,1,22.040256,3.2489999999999997,61.98663586246479,141.01658740170942,963.0,192.72634946598302,56
131,1,22.16004,3.2489999999999997,61.98663586246479,141.01658740170942,880.0,193.77056227658994,56
132,1,22.279824,3.2489999999999997,61.98663586246479,141.01658740170942,778.0,194.8147750871969,56
133,1,22.399608,3.2489999999999997,59.010957116127756,141.01658740170942,695.0,197.38978879799893,52
134,1,22.519392,3.2489999999999997,59.010957116127756,141.01658740170942,698.0,198.4421630002664,52
135,1,22.639176,3.2489999999999997,59.010957116127756,141.01658740170942,653.0,199.49453720253388,52
136,1,22.75896,3.2489999999999997,59.010957116127756,141.01246449970614,618.0,200.54691140480136,52
137,1,22.878744,3.2489999999999997,59.010957116127756,141.01658740170942,503.0,201.59928560706885,52
138,1,22.998528,3.2489999999999997,92.92291471368364,141.01658740170942,457.0,190.3785919386003,57
139,1,23.118312,3.2489999999999997,92.92291471368364,141.01658740170942,442.0,191.3672318491181,57
140,1,23.238096,3.2489999999999997,59.010957116127756,141.01658740170942,482.0,204.75640821387128,52
141,1,23.35788,3.2489999999999997,59.010957116127756,141.01658740170942,341.0,205.8087824161388,52
142,1,23.477664,3.2489999999999997,59.010957116127756,141.01658740170942,340.0,206.86115661840626,52
