m/z_ion_center,CCS (Å^2),Peak Intensity
605.8455,181.81,54
605.854,183.14,49
605.8626,182.83,206
605.8711,183.15,146
631.0036,183.72,204
631.972,183.46,222
631.9807,183.6,101
694.9292,183.73,917
694.9384,183.74,2141
694.9475,183.73,2644
694.9567,183.76,2018
694.9658,183.8,1176
724.9182,181.15,28
725.4605,181.15,27
750.5389,181.47,22
863.7552,180.61,21
72.9898,211.36,110
248.972,188.85,400
286.9819,187.58,41
323.2188,186.81,159
323.2251,186.55,123
327.2636,186.1,24
327.2699,186.1,53
327.3013,186.42,90
327.3139,186.19,110
329.0183,187.47,108
329.1821,186.84,176
331.2704,186.01,51
337.135,186.06,368
339.1844,188.16,276
339.2164,189.9,499
339.2292,195.05,310
339.2356,194.85,237
411.0027,185.43,544
420.9942,185.44,58
438.9481,184.38,92
474.9206,185.67,2417
474.9432,185.87,11936
474.9508,185.96,5514
480.8405,183.74,22
480.8481,183.74,55
492.906,187.14,2382
498.8824,185.82,3374
498.8901,185.85,11915
498.8979,185.88,13289
498.9056,185.89,8359
498.9134,185.85,3797
510.8647,183.85,45
524.9362,183.32,31
525.1351,182.87,76
525.1431,183.45,84
527.9474,186.1,993
527.9554,186.3,1896
527.9634,186.41,1917
527.9713,186.29,1333
528.9291,186.46,1805
528.9371,185.87,12907
529.0249,186.4,34429
529.0329,186.38,28886
529.0409,186.39,25270
529.0488,186.41,22683
529.0568,186.4,21187
529.0648,186.37,18810
529.0728,186.39,16362
529.0808,186.41,14210
529.0888,186.41,11050
529.0968,186.39,9440
529.1048,186.38,9003
529.1127,186.41,8168
529.1207,186.38,7277
529.1287,186.34,6420
529.1367,186.38,5745
529.1447,186.37,5442
529.1686,186.37,4118
529.1766,186.37,3756
529.1846,186.37,3472
529.1926,186.39,3249
529.9436,186.26,4225
529.9516,186.24,13698
556.7944,184.12,50
564.9674,183.34,103
568.9686,183.85,123
570.0458,182.95,79
570.9828,182.94,54
594.8717,184.01,159
594.9395,183.68,318
594.9479,183.55,162
596.9312,183.44,201
603.8475,183.6,67
694.975,183.81,711
694.9841,183.64,391
695.9546,183.88,212
749.9303,184.64,2244
749.9398,184.67,4115
749.9493,184.73,3766
941.6813,181.25,23
92.9229,205.23,105
286.9761,188.49,99
317.9846,188.0,67
318.096,187.22,21
329.1947,187.28,82
329.201,186.96,54
330.9735,190.59,58
339.2228,193.85,151
340.1955,187.8,408
340.2019,187.96,368
340.2083,188.19,239
341.2401,186.98,78
421.0013,185.36,44
444.9476,186.65,2030
444.955,186.72,7045
444.9623,186.83,6398
444.9696,186.94,3224
450.9142,186.77,1735
474.9584,186.05,1705
484.884,185.53,191
484.8916,185.56,576
498.9212,186.08,966
516.8618,186.58,2517
527.9394,186.4,332
527.9793,186.36,748
527.9873,186.31,384
528.8892,186.88,292
528.8971,186.53,490
528.9051,186.41,639
528.9131,186.28,861
528.9211,186.37,1173
529.1527,186.41,4868
529.1607,186.42,4561
529.2006,186.36,3117
529.2086,186.37,2914
529.2166,186.35,2733
529.2246,186.4,2594
529.2325,186.35,2496
529.2405,186.31,2428
529.2485,186.38,2326
529.2565,186.41,2056
529.2645,186.39,2005
529.2725,186.35,2068
529.2805,186.37,2010
529.2884,186.38,1851
529.2964,186.32,1831
529.3044,186.33,1710
529.3124,186.36,1795
529.3204,186.32,1747
529.3284,186.35,1648
529.3364,186.32,1486
529.3444,186.36,1531
529.3524,186.43,1445
529.3603,186.38,1479
529.3683,186.35,1498
529.3763,186.42,1560
529.3843,186.42,1326
529.3923,186.43,1413
529.4003,186.37,1402
529.4083,186.31,1379
529.4163,186.35,1405
529.4242,186.31,1364
529.4322,186.29,1354
529.4402,186.28,1253
529.4482,186.29,1112
529.4562,186.33,1159
529.4642,186.32,1202
529.4722,186.3,1126
529.4802,186.25,1078
529.4882,186.27,1009
529.4961,186.29,1017
529.5041,186.34,962
529.5121,186.4,921
529.5201,186.54,963
529.5281,186.44,939
529.5361,186.31,1034
529.5441,186.3,927
529.5521,186.36,814
529.5601,186.34,898
529.568,186.44,935
529.576,186.38,875
529.584,186.47,818
529.592,186.48,862
529.6,186.35,739
529.608,186.39,806
529.616,186.43,782
529.624,186.29,802
529.632,186.27,818
529.64,186.36,664
529.648,186.34,716
529.6559,186.18,721
529.6639,186.25,740
529.6719,186.19,698
529.6799,186.28,748
529.6879,186.37,762
529.6959,186.14,699
529.7039,186.39,604
529.7119,186.39,692
529.7199,186.39,610
529.7279,186.39,627
529.7358,186.32,676
529.7438,186.38,607
529.7518,186.45,664
529.7598,186.29,605
529.7678,186.35,533
529.7758,186.28,550
529.7838,186.42,585
529.7918,186.33,527
529.7998,186.4,562
529.8078,186.47,622
529.8158,186.49,751
529.8238,186.47,715
529.8317,186.42,638
529.8397,186.52,698
529.8477,186.48,637
529.8557,186.43,643
529.8637,186.25,595
529.8717,186.29,673
529.8797,186.34,640
529.8877,186.4,563
529.8957,186.32,568
529.9037,186.44,591
529.9117,186.47,584
529.9197,186.41,607
529.9276,186.52,551
529.9356,186.38,828
530.0475,186.38,2156
530.0555,186.39,1844
530.0635,186.39,1690
530.0715,186.35,1633
530.0795,186.42,1285
530.0875,186.41,1102
530.0955,186.33,906
530.1035,186.29,821
530.1115,186.36,831
530.1195,186.44,695
530.1275,186.39,657
530.1355,186.26,694
530.1435,186.37,636
530.1515,186.3,573
530.1754,186.34,464
530.1834,186.27,406
568.9852,183.85,88
593.8983,183.67,43
594.9564,183.57,85
596.8718,183.65,44
612.7787,185.4,1448
612.7873,185.4,2766
612.7959,185.59,1699
630.9251,184.14,158
631.0123,183.83,119
631.021,183.71,93
631.9371,183.42,50
680.9421,190.51,5493
680.9512,190.55,6980
680.9602,190.56,5358
680.9693,190.53,3090
694.92,183.56,189
694.9933,183.6,193
695.0024,183.71,98
695.9363,183.47,97
695.9455,183.72,174
695.9638,184.14,165
749.9208,184.73,498
749.9588,184.75,2397
749.9683,184.61,1180
937.7114,182.14,22
968.689,182.02,26
984.6716,182.02,24
121.9401,200.58,133
152.0512,203.79,118
311.1496,190.74,42
325.307,187.95,21
329.9763,189.26,137
337.2243,190.29,1707
337.2306,190.73,5306
337.237,190.74,5059
337.2434,190.77,3168
339.242,193.92,161
340.2147,188.3,58
357.2784,190.29,694
410.9675,186.4,36
420.9871,186.61,33
444.9769,186.64,410
450.9068,186.8,197
450.9216,186.92,1692
450.9289,187.16,617
474.966,185.83,95
484.8992,185.23,156
492.9137,187.21,1094
498.9289,185.8,44
508.8499,186.51,257
508.8577,186.74,130
511.9874,185.22,34
516.8697,186.65,1757
516.8776,186.52,673
527.9953,186.44,163
528.8732,190.92,1092
528.8812,191.08,601
530.1594,186.44,547
530.1674,186.34,537
530.1914,186.39,389
530.1994,186.54,433
530.2074,186.45,388
530.2154,186.27,343
530.2234,186.38,402
530.2314,186.4,394
530.2394,186.31,373
530.2474,186.28,334
530.2554,186.34,274
530.2634,186.39,278
530.2714,186.47,261
530.2794,186.29,307
530.2874,186.65,211
530.2954,186.46,288
530.3034,186.4,281
530.3113,186.05,195
530.3193,186.35,267
530.3273,186.32,277
530.3353,186.39,228
530.3433,186.4,239
530.3513,186.53,202
530.3593,186.46,218
530.3673,186.37,225
530.3753,186.37,221
530.3993,186.25,203
530.4073,186.23,227
530.4153,186.55,224
530.4233,186.36,221
530.4313,186.14,241
530.4393,186.09,177
530.4473,186.32,194
530.4553,186.38,161
530.4633,185.62,154
530.4713,186.34,212
530.4793,186.35,201
530.4873,186.22,212
530.4953,186.28,161
530.5032,186.21,181
530.5112,186.13,181
530.5192,186.48,176
530.5272,186.08,159
530.5832,186.17,181
530.6872,186.2,130
530.7272,186.24,123
530.7352,185.05,75
530.7432,185.58,92
530.7512,186.24,120
530.9032,185.98,100
532.9531,185.86,93
556.7862,184.83,64
558.9593,185.04,137
558.9675,185.67,61
558.9757,185.3,138
576.7882,185.13,40
576.7966,184.96,105
576.8049,185.09,44
580.8143,185.7,191
580.8226,185.16,70
588.9926,185.61,81
612.7701,184.8,108
680.924,190.26,747
680.9331,190.39,2592
680.9784,190.47,1865
750.4247,184.53,66
750.4343,183.91,142
750.4438,184.67,237
750.4533,184.64,209
770.5498,183.6,31
1024.6167,182.8,22
142.0244,209.35,143
216.9828,192.99,48
313.1677,190.37,107
337.2179,190.3,245
337.2498,190.82,1855
337.2561,190.78,1032
341.2593,191.5,67
357.2718,189.82,269
357.2849,190.6,652
359.1511,190.27,409
359.1577,190.04,259
420.98,187.11,54
450.9363,186.98,93
450.9584,187.58,42
492.9214,187.73,142
494.8967,186.24,22
510.9746,187.64,567
518.8528,186.23,68
518.8607,186.19,102
518.8686,186.01,22
525.6444,186.17,72
528.0032,186.2,107
528.8492,186.66,62
528.8572,187.15,63
528.8652,191.08,363
530.3833,186.72,224
530.3913,186.43,208
530.5352,186.34,144
530.5432,186.33,123
530.5512,186.35,130
530.5592,186.37,138
530.5672,186.26,164
530.5752,186.38,172
530.5912,186.53,111
530.5992,186.6,120
530.6072,185.92,105
530.6152,186.6,127
530.6232,186.3,113
530.6312,186.47,112
530.6392,186.32,126
530.6472,186.38,107
530.6552,186.56,102
530.6632,186.36,91
530.6712,186.33,87
530.6792,186.44,160
530.6952,186.33,98
530.7032,186.69,126
530.7112,186.4,120
530.7192,186.29,143
530.7592,186.59,50
530.7672,186.36,77
530.7752,186.29,133
530.7832,186.06,62
530.7912,186.31,23
530.7992,186.43,64
530.8072,186.95,100
530.8152,186.42,89
530.8232,186.63,103
530.8312,185.9,87
530.8392,186.0,99
530.8472,186.31,97
530.8552,186.52,85
530.8632,186.73,102
530.8712,186.67,99
530.8952,186.42,113
530.9192,186.67,171
530.9272,186.94,198
531.4233,186.03,43
532.9611,186.74,69
532.9691,186.74,73
558.9839,185.67,67
580.8059,186.35,56
580.831,185.37,46
606.7688,186.41,281
606.7773,186.57,208
612.8045,185.67,450
669.9249,188.17,2188
669.9339,188.24,9726
669.9429,188.26,20985
669.9519,188.28,25692
669.9609,188.29,23591
669.9698,188.29,18505
669.9788,188.28,13540
669.9878,188.28,9194
670.9408,188.43,1446
670.9498,188.23,2647
670.9587,188.26,2881
670.9677,188.28,2222
670.9767,188.25,1443
680.9874,190.43,1036
681.9481,190.4,339
699.9446,185.72,180
699.9538,185.46,113
699.963,185.6,109
749.9778,185.04,295
750.4628,184.53,105
909.2463,183.95,23
311.2047,190.83,141
311.2108,190.74,63
312.1915,190.54,72
313.1615,190.59,103
313.1738,189.98,31
313.18,189.98,54
330.9672,189.62,28
333.0738,190.62,466
333.0802,190.51,274
337.2625,190.9,529
337.2689,190.82,256
338.226,190.73,175
338.2324,190.68,660
338.2387,190.94,843
338.2451,190.84,511
338.2515,190.64,259
357.2915,190.78,236
359.1446,190.35,279
359.1643,190.04,127
360.1651,189.37,55
395.2356,189.24,91
395.2425,189.25,80
401.9452,188.86,71
409.1045,189.06,139
409.1115,188.76,39
446.9565,187.63,22
450.9437,187.58,32
450.9511,187.58,0
460.9294,188.26,125
462.9217,186.25,63
490.9116,189.45,1031
508.8421,186.78,48
508.8656,186.96,43
510.9824,187.97,343
510.9902,187.92,182
510.9981,188.08,95
513.9376,187.35,49
513.9454,187.8,39
514.8667,189.09,1587
514.8746,188.98,1878
514.8825,189.04,508
518.9714,187.35,32
530.8792,186.77,53
530.8872,186.75,48
531.1672,186.75,0
531.1752,186.65,78
531.1832,186.75,0
531.2152,186.56,53
531.3912,186.83,72
532.8889,188.28,828
532.897,188.45,884
553.9798,187.5,119
553.9879,187.48,145
553.9961,186.86,54
556.8517,187.99,565
556.8599,188.08,350
606.7602,186.17,26
649.9468,187.37,279
649.9557,187.47,305
649.9645,187.31,271
669.9159,188.12,141
669.9968,188.26,6276
670.0058,188.27,4154
670.0148,188.26,2867
670.0238,188.26,2164
670.0328,188.28,1437
670.0417,188.25,1202
670.0507,188.3,964
670.0597,188.16,844
670.0687,188.28,698
670.9318,188.28,438
670.9857,188.45,810
680.9965,190.46,578
681.9391,191.83,235
681.9572,190.13,478
681.9663,189.65,320
699.9354,185.62,66
957.6982,184.66,25
1014.6499,184.51,22
92.9363,217.28,119
333.0675,190.65,151
333.0865,190.49,120
337.2753,190.76,101
337.2816,190.78,49
338.2579,190.36,107
341.2657,191.86,148
341.2721,191.64,152
352.2822,191.5,284
352.2887,191.55,210
357.2981,190.49,39
358.2766,190.04,53
358.2831,190.74,110
358.2897,190.72,103
359.2959,189.52,55
395.2494,189.25,44
460.9219,188.36,27
460.9368,188.22,45
490.9039,189.38,897
490.9193,189.07,613
490.927,188.46,47
506.9486,190.09,234
514.8589,188.82,123
516.8855,187.76,23
518.9793,188.18,42
532.8809,187.67,112
532.905,188.17,446
554.0043,187.87,109
554.0124,187.45,42
582.8158,189.73,1451
588.8241,189.21,4153
588.8325,189.0,3733
647.948,189.33,668
649.9734,187.19,109
670.0777,188.27,514
670.0867,188.38,370
670.0957,188.53,234
670.1047,188.28,227
670.9947,188.3,493
671.0037,188.11,295
1344.4872,184.71,30
59.0243,226.47,30
62.003,221.82,53
154.0441,199.76,22
341.2785,192.28,95
348.286,191.0,21
349.2391,191.43,25
352.2953,192.28,74
412.179,191.02,79
412.1861,190.79,91
492.9291,188.9,21
502.8996,188.8,69
518.9872,188.64,22
526.879,190.48,365
526.8869,189.79,400
526.8949,190.76,88
532.8328,189.4,67
532.913,188.35,47
534.8945,192.97,7372
544.9463,188.41,23
544.9544,188.41,50
546.95,189.09,136
552.8281,189.93,373
552.8363,190.19,836
556.8681,188.4,54
560.931,190.24,728
560.9393,189.97,656
560.9475,189.91,470
560.9557,189.83,243
574.8138,192.41,91
582.799,189.58,228
582.8074,189.61,1661
588.8157,189.18,1608
588.841,189.12,2181
588.8494,189.26,675
647.9392,189.42,509
647.9568,189.52,609
647.9657,189.47,378
647.9745,189.42,218
647.9833,189.08,80
649.9822,187.51,47
668.9548,187.78,64
669.907,188.21,79
670.1136,188.37,203
670.1226,188.39,132
670.1316,188.5,106
670.1406,188.37,103
670.1496,188.16,62
670.2035,187.55,50
670.9228,188.28,87
671.0127,188.21,155
681.9753,189.82,172
744.928,190.24,2688
744.9375,190.24,5281
744.947,190.27,5813
744.9565,190.24,4234
744.9659,190.18,2586
774.9412,188.56,987
1010.6614,186.28,45
116.9919,205.98,59
141.0372,205.01,153
272.9939,194.31,21
286.9819,202.65,882
293.1789,193.24,23
317.2111,192.6,21
339.3187,192.89,221
339.3251,193.05,373
349.2262,192.33,31
349.2326,192.32,107
349.2456,191.88,27
462.9292,190.2,81
504.9104,191.06,1053
504.9182,190.82,927
504.926,190.79,190
506.9642,190.19,147
520.8714,189.45,30
532.8408,189.86,162
546.9581,189.29,21
550.8463,189.26,22
552.8445,190.33,317
558.8608,192.17,3153
560.9228,190.27,477
560.9639,189.64,76
569.938,191.94,3032
569.9463,192.01,12677
570.9496,191.85,950
570.958,191.96,1955
570.9662,192.05,2400
570.9745,192.02,1900
573.0006,193.16,110027
573.0089,193.16,75193
573.0172,193.18,55443
573.0255,193.18,42974
573.9734,193.15,20212
573.9817,193.2,26519
573.99,193.18,23969
582.8242,189.84,374
588.8578,189.17,71
603.9072,189.27,52
603.9157,188.85,21
614.9464,192.09,6865
614.955,192.08,7677
614.9636,192.12,6172
614.9722,192.15,4032
614.9808,192.25,2517
647.9303,189.01,43
668.9368,188.46,66
668.9458,188.45,102
670.1586,188.43,49
670.1676,188.44,0
670.1766,188.26,48
671.0217,188.65,69
671.0307,188.43,52
671.9664,188.43,56
671.9754,188.62,52
681.0055,190.63,337
681.0146,190.53,215
681.9844,189.57,123
724.9369,189.84,478
724.9463,190.1,692
724.9556,190.07,365
744.9754,190.33,1545
744.9849,190.22,908
744.9944,190.33,529
745.9423,190.14,513
745.9518,190.04,493
745.9613,189.92,329
774.9219,189.06,121
774.9315,188.61,584
774.9508,188.61,1018
774.9605,188.76,423
991.6675,187.21,23
82.9576,215.03,50
82.9608,215.97,426
82.9639,215.76,242
326.1968,194.77,66
329.9889,193.2,24
336.3195,193.51,21
336.3259,193.06,26
339.3315,192.95,174
361.2333,193.88,231
363.2421,196.15,3550
418.9593,195.59,617
418.9664,195.67,1026
418.9735,195.72,929
418.9806,195.57,509
482.9211,195.15,2835
482.9288,195.08,4074
482.9364,194.97,3674
482.944,194.98,2410
482.9517,195.17,1343
504.9026,190.77,208
506.9408,190.93,154
506.972,190.54,69
510.9196,192.26,4165
510.9275,192.41,8152
510.9353,192.44,6105
510.9432,192.46,2829
526.871,190.8,170
552.82,190.13,42
558.8444,192.24,5202
558.8526,192.14,5874
558.869,192.09,807
570.0292,192.08,1645
570.0375,192.06,1332
570.0458,192.04,1062
570.054,192.07,897
570.0623,192.13,696
570.0706,192.09,548
570.0789,192.0,452
570.9828,192.03,1154
572.9507,193.3,4733
573.0338,193.16,33318
573.0421,193.14,26497
573.0504,193.19,21605
573.0588,193.16,18708
573.0671,193.15,16800
573.0754,193.17,15039
573.0837,193.16,13721
573.092,193.18,12424
573.1003,193.2,10726
573.1086,193.17,8217
573.1169,193.18,6515
573.1253,193.17,6026
573.1502,193.2,4335
573.965,193.17,8813
573.9983,193.15,17663
574.0066,193.2,13149
574.015,193.19,9470
574.0233,193.17,6459
574.0316,193.19,4759
574.0399,193.14,3629
574.9636,193.26,5330
574.9719,193.17,9773
574.9803,193.18,11291
574.9969,193.2,6813
575.0052,193.18,4579
575.0136,193.18,2910
582.8326,190.0,85
588.9505,196.73,259
588.9589,196.74,667
588.9673,196.79,961
604.7948,190.74,225
604.8034,190.78,246
604.8119,190.48,103
614.9378,192.13,3608
615.9542,192.06,612
615.9628,191.85,481
615.9714,191.68,298
628.7555,189.49,32
628.7642,189.49,63
640.7653,189.5,23
640.7741,189.5,26
652.8001,189.9,31
680.9149,190.17,85
681.93,191.22,57
724.9276,189.48,21
744.9185,190.21,766
745.0038,190.14,274
745.0133,190.3,150
745.9328,190.71,267
745.9707,190.31,174
774.9702,188.65,92
775.4535,188.81,22
979.699,188.41,77
979.7098,188.57,64
72.9898,219.21,29
82.9671,215.84,140
82.9703,215.53,71
118.9831,208.73,28
152.0554,202.79,22
171.995,201.42,43
267.9862,206.39,233
325.2193,194.84,45
336.3323,193.96,58
350.304,197.17,2299
353.2995,193.6,21
361.2267,194.33,97
361.2399,194.2,78
363.2487,196.17,4938
363.2553,196.14,3573
381.2193,193.51,40
401.1173,194.26,236
401.1243,194.72,2157
401.1312,194.71,2252
401.1382,194.7,993
402.1332,193.48,131
402.1401,195.52,115
410.9816,194.61,465
418.9877,195.44,284
482.9135,195.16,846
482.9593,195.08,741
482.9669,195.08,351
502.9152,192.4,169
502.923,191.92,44
505.9563,192.55,127
505.9641,192.43,261
505.9719,192.27,197
505.9797,192.21,99
508.9282,192.24,302
508.9361,192.06,401
508.9439,192.46,124
510.951,192.49,433
514.9849,193.51,329
534.8784,192.98,3128
534.8864,192.91,8500
534.9025,193.17,4078
540.9014,193.92,11431
540.9095,193.88,12854
550.8544,191.04,25
550.8626,196.2,92
550.8707,191.03,24
550.9359,199.73,2315
550.944,193.39,682
550.9522,193.59,549
558.8362,192.3,799
560.9146,191.23,89
563.0133,193.15,1380
563.0216,193.13,2680
563.0298,193.13,2428
563.038,193.12,1720
563.0463,193.15,1145
563.0545,193.05,598
569.9297,192.23,352
570.0872,192.16,277
570.0955,192.24,237
570.1038,192.21,160
570.9414,191.91,234
570.9911,192.2,743
570.9994,192.14,415
571.0077,192.33,181
572.9175,192.53,277
572.9258,193.34,458
572.9341,193.08,634
572.9424,193.27,1138
573.1336,193.15,5574
573.1419,193.2,4866
573.1585,193.19,3778
573.1668,193.18,3480
573.1751,193.18,3265
573.1834,193.12,3050
573.1918,193.11,2739
573.2001,193.14,2532
573.2084,193.14,2237
573.2167,193.17,2261
573.225,193.14,1953
573.2333,193.19,1783
573.2416,193.22,1710
573.2499,193.16,1617
573.2582,193.11,1451
573.2666,193.14,1521
573.2749,193.21,1320
573.2832,193.22,1310
573.2915,193.13,1281
573.2998,193.06,1271
573.3081,193.15,1211
573.3164,193.1,1165
573.3248,193.13,1105
573.3331,193.13,1109
573.3414,193.3,1109
573.3497,193.19,1035
573.358,193.22,993
573.3663,193.18,979
573.3746,193.23,896
573.383,193.16,929
573.3913,193.2,861
573.3996,193.2,825
573.4079,193.15,805
573.4162,193.22,831
573.4245,193.13,837
573.4328,193.16,789
573.4412,193.12,808
573.4495,193.2,816
573.4578,193.18,783
573.4661,193.16,771
573.4744,193.19,742
573.4827,193.1,665
573.491,193.01,660
573.4993,193.1,685
573.5077,193.16,685
573.516,192.98,758
573.5243,192.99,762
573.5326,193.21,603
573.5409,193.1,608
573.5492,192.96,562
573.5575,193.04,537
573.5659,193.21,558
573.5742,193.13,564
573.5825,193.03,538
573.5908,192.98,558
573.5991,193.17,545
573.6074,193.25,435
573.6158,193.18,483
573.6573,193.17,490
573.6656,193.18,469
573.6989,193.06,435
573.8736,193.15,426
573.9318,192.97,400
573.9401,192.98,532
573.9484,193.06,548
573.9567,193.27,2031
574.0482,193.2,2774
574.0565,193.22,2162
574.0649,193.18,1924
574.0732,193.22,1662
574.0815,193.17,1563
574.0898,193.15,1373
574.0981,193.15,1308
574.1065,193.1,1000
574.1148,193.07,778
574.1231,192.99,666
574.1314,193.13,660
574.1397,193.2,693
574.148,193.14,597
574.1564,192.93,503
574.1647,193.15,497
574.9553,193.2,1443
574.9886,193.23,9436
575.0219,193.19,2019
575.0302,193.23,1377
575.0386,193.26,973
575.0469,193.32,632
575.0552,193.19,497
575.9714,193.1,675
575.9797,193.29,930
575.988,193.24,854
575.9964,193.37,512
587.9567,192.79,455
587.9651,192.46,729
587.9735,192.68,809
587.9819,193.55,614
587.9904,196.64,1098
614.9292,192.04,850
614.9895,192.25,1539
614.9981,192.17,911
615.0067,192.22,506
615.0153,192.12,293
615.9455,192.2,462
615.98,192.14,176
652.7735,190.26,36
652.7823,190.74,100
652.7912,190.31,62
674.9486,192.19,2584
674.9577,192.05,1992
681.0236,190.7,63
724.965,190.08,137
744.9091,190.23,116
745.9802,190.24,102
746.9478,189.82,46
775.4342,189.69,28
121.9439,209.03,118
142.0161,9408.11,144
317.9908,199.68,136
327.1757,195.98,45
346.2738,199.04,225
350.2975,197.36,1245
350.3105,197.28,1453
350.317,197.38,699
353.2082,197.4,537
353.2147,197.07,436
363.2355,196.16,546
363.262,196.09,2033
363.2686,196.13,925
363.2752,196.2,383
364.242,194.29,23
364.2486,196.28,681
364.2552,196.25,759
364.2618,196.3,412
364.2817,198.45,1073
364.2883,198.31,777
389.2534,195.53,262
397.1637,195.41,979
397.1706,195.25,1392
397.2259,196.02,192
401.1452,194.82,334
401.1521,194.37,95
402.1193,193.71,135
402.1262,194.76,196
403.1294,194.78,39
410.9746,194.82,175
410.9887,194.88,439
418.9948,195.56,127
482.9059,192.58,30
483.9288,195.67,230
483.9364,193.82,217
492.9831,194.18,575
492.9908,193.91,545
502.9074,192.37,32
505.9875,192.34,50
506.2297,192.33,23
508.9517,193.86,92
510.9118,192.23,103
514.9613,195.96,183
514.9692,195.03,420
514.977,193.71,472
514.9928,192.76,153
526.9029,192.49,75
534.8704,192.55,45
534.9105,193.18,1256
540.8933,193.97,3789
540.9176,193.92,7765
540.9256,193.84,3497
550.9277,199.64,5109
550.9603,193.58,340
550.9685,193.23,177
558.8772,192.75,45
563.0051,193.13,325
563.0628,193.19,319
564.0271,193.13,239
564.0353,193.15,214
568.8527,196.34,47
569.9214,191.77,49
570.1121,192.13,143
570.1204,192.18,108
570.1286,192.21,96
570.1369,192.14,96
570.1452,191.81,51
571.016,192.21,113
571.0243,191.96,61
571.9705,193.31,152
572.8926,192.95,148
572.9009,193.03,263
572.9092,193.02,272
573.6241,193.19,449
573.6324,193.36,509
573.6407,193.32,529
573.649,193.39,444
573.674,193.16,496
573.6823,193.17,451
573.6906,193.08,468
573.7072,193.24,410
573.7155,193.27,377
573.7239,193.17,424
573.7322,193.22,404
573.7405,193.38,373
573.7488,193.27,453
573.7571,193.17,436
573.7654,193.11,379
573.7737,193.04,451
573.7821,193.15,403
573.7904,193.21,419
573.7987,193.38,388
573.807,193.24,312
573.8153,193.13,333
573.8236,192.98,431
573.832,193.47,391
573.8403,193.31,419
573.8486,193.47,362
573.8569,193.43,343
573.8652,193.3,416
573.8819,193.31,456
573.8902,193.25,362
573.8985,193.28,329
573.9068,192.98,368
573.9151,193.05,376
573.9235,193.28,411
574.173,193.22,390
574.1813,193.24,350
574.1896,193.24,349
574.198,193.2,323
574.2063,193.18,342
574.2146,193.15,342
574.2229,193.43,245
574.2313,193.43,257
574.2396,193.15,256
574.2479,193.11,262
574.2562,193.22,290
574.2645,193.52,232
574.2729,193.23,251
574.2812,193.05,272
574.2895,192.86,214
574.2978,193.12,221
574.3061,193.08,212
574.3144,193.0,212
574.3228,193.36,192
574.3311,193.04,171
574.3394,193.06,149
574.3477,193.08,183
574.356,193.35,159
574.3644,193.13,171
574.3727,193.32,238
574.381,193.0,239
574.3893,193.67,182
574.3977,192.73,187
574.406,192.99,165
574.4143,192.8,155
574.4226,193.11,164
574.4309,193.21,145
574.4393,193.29,147
574.4476,192.97,164
574.4809,192.93,152
574.5142,193.01,134
574.614,192.5,116
574.8221,193.9,103
574.947,193.13,310
575.0635,193.32,379
575.0718,193.19,351
575.0802,193.27,309
575.0885,193.14,265
575.0968,193.1,227
575.1218,192.86,168
575.9631,193.29,279
576.0047,193.15,322
576.013,193.17,128
587.9988,196.77,1642
614.9206,191.88,21
615.0239,192.1,224
615.0325,192.07,137
615.0411,192.33,83
615.0497,191.94,100
615.9369,192.33,123
628.8164,193.57,1817
628.8251,193.34,1611
674.9306,192.42,275
674.9396,192.26,1338
674.9667,192.05,1144
674.9757,191.94,351
730.9414,197.94,7339
745.0228,190.71,45
268.0032,197.71,24
350.3235,197.12,329
351.3054,197.34,340
351.312,197.47,285
353.3322,196.97,401
353.3387,196.86,1797
353.3452,196.96,849
363.2818,196.16,210
364.2685,196.58,216
364.2751,197.99,646
364.295,198.34,340
389.2465,195.6,47
397.1775,195.56,644
397.1844,195.54,135
397.2328,196.12,118
398.1745,195.22,43
403.1224,194.46,29
410.9957,194.84,84
418.9522,196.07,22
419.002,194.28,23
480.9547,193.49,21
482.9746,195.77,175
482.9822,195.09,111
482.9898,193.69,66
483.9211,195.72,173
484.9145,193.45,70
484.9222,193.45,81
492.9754,194.11,118
492.9985,194.19,125
516.9328,195.43,2751
516.9407,195.42,9703
516.9486,195.39,10154
516.9565,195.48,6022
516.9644,195.32,1892
534.9186,192.93,48
540.9337,193.81,735
563.071,193.22,135
564.8602,195.15,6124
564.8684,195.27,8211
564.8767,195.27,5656
571.9788,193.01,68
571.9871,193.03,46
572.8759,192.48,50
572.8842,193.06,96
574.4559,193.09,134
574.4642,192.77,117
574.4725,193.08,130
574.4892,193.03,153
574.4975,192.99,127
574.5058,193.05,143
574.5225,193.3,121
574.5308,193.21,116
574.5391,193.26,126
574.5474,193.11,134
574.5558,193.17,144
574.5641,192.97,128
574.589,193.2,109
574.5974,193.83,94
574.6057,197.29,86
574.6223,192.62,72
574.6307,192.86,76
574.639,192.62,68
574.6473,193.04,98
574.6556,193.21,93
574.664,193.07,0
574.6723,193.07,60
574.6806,193.27,64
574.7056,193.18,95
574.7139,192.62,0
574.7222,192.64,74
574.7305,193.08,93
574.7389,193.07,0
574.7472,193.36,96
574.7555,192.78,56
574.7638,193.31,103
574.7722,193.11,117
574.7805,193.25,88
574.8304,193.25,116
574.8388,193.26,116
574.8471,193.13,70
574.8554,193.47,62
574.8637,194.35,113
574.872,194.64,2130
574.8804,194.8,4900
574.8887,194.77,3442
574.897,196.87,1055
574.9053,198.84,852
574.9137,197.52,176
574.922,193.6,67
574.9303,193.13,68
