m/z_ion_center,CCS (Å^2),Peak Intensity
273.0455,124.79,2659
273.0512,124.78,2151
273.057,124.8,1853
273.0627,124.77,1584
273.0684,124.72,1273
273.0742,124.71,1077
273.0799,124.72,954
273.0856,124.58,481
348.8889,122.99,209
348.8953,123.12,359
348.9018,123.02,245
528.961,123.24,215
572.9923,119.87,56
573.0006,119.87,21
118.9718,131.54,24
119.9964,131.6,131
120.0002,131.43,21
120.9988,131.33,91
121.0026,131.33,21
176.9246,127.55,295
176.9292,127.59,589
176.9338,127.78,192
183.0025,127.81,205
234.8844,125.98,7550
234.8897,125.84,2956
236.8787,125.88,8507
236.884,125.92,3908
237.8843,126.0,7859
237.8897,125.96,3296
239.859,125.73,969
239.8805,125.94,7843
239.8859,125.93,3512
240.8871,125.95,9341
242.8634,125.84,7682
242.8796,125.91,10861
242.885,125.88,4945
251.0196,125.1,70
271.9795,124.56,152
272.0081,124.73,282
272.0138,124.49,136
273.0914,124.9,337
273.0971,124.73,357
273.1029,124.56,249
273.1086,124.61,174
273.1143,124.52,224
273.1201,124.97,151
273.9987,124.78,47
286.9819,127.03,2973
528.953,121.44,27
528.977,121.44,44
528.985,120.99,23
59.019,246.07,89345
92.9296,174.32,5077
141.0207,130.99,35
174.9903,129.18,190
174.9949,128.96,243
183.0072,128.01,89
234.895,126.03,351
235.8698,125.64,30
236.8573,125.71,137
236.8894,125.96,477
237.8576,125.58,48
237.895,125.86,91
239.8913,125.9,504
240.8925,125.89,3746
240.8979,125.98,800
241.8634,126.39,63
241.8688,125.82,551
241.8742,125.97,221
242.8904,125.91,1498
272.9709,125.12,150
273.1258,124.72,87
273.1316,124.72,109
273.1373,124.74,87
273.143,124.72,76
273.1602,124.72,52
273.166,124.99,86
273.9929,124.71,83
286.9878,127.09,2216
572.9757,127.22,260
572.984,121.65,30
92.9263,140.46,75
174.9995,128.87,27
180.9978,128.57,31
181.0025,128.57,70
181.0072,128.57,43
216.993,133.19,69
242.858,126.36,63
286.9702,126.87,446
286.9761,126.85,1973
286.9937,127.21,1334
286.9996,127.85,832
287.0055,128.05,505
311.1679,125.37,49
428.9746,126.12,210
572.9673,128.2,219
119.947,134.78,51
141.0166,166.81,143181
188.9301,131.03,3295
188.9348,131.17,30850
188.9396,131.13,34014
188.9444,131.1,18548
188.9492,131.1,9078
287.0113,128.21,205
428.9817,125.46,215
428.9889,124.8,130
750.5389,123.19,44
750.5484,123.19,22
72.9927,144.1,28
188.9539,131.09,3344
216.9879,129.92,92
248.9665,128.49,6856
248.972,128.49,33439
248.9775,128.49,6249
248.983,128.49,5745
248.9884,128.49,0
248.9939,128.49,208
248.9994,128.49,135
287.0172,129.43,90
328.9806,126.45,21
367.8688,125.92,26
367.8755,125.92,21
428.9674,126.61,229
589.0095,124.68,98
589.0179,124.68,29
750.5579,123.63,0
750.5674,124.07,22
116.9694,171.17,61640
143.9882,134.15,48
143.9924,133.62,70
188.9587,131.06,513
280.985,128.51,46
59.011,167.91,4832
59.0216,246.09,60942
118.968,169.97,19954
119.9432,137.23,28
141.0125,136.23,992
210.9899,133.66,5434
210.995,133.79,20423
211.0,133.9,23185
211.0051,133.94,14225
222.9092,131.89,6364
222.9144,131.9,7259
222.9195,131.95,3122
280.9792,129.73,166
280.9908,129.45,77
428.9602,128.39,46
506.9486,126.48,24
589.001,128.0,119
116.9656,139.26,350
168.9849,136.47,3141
168.9894,136.48,4104
168.9939,136.5,2732
171.9995,144.47,10045
172.0041,144.46,6859
172.0086,144.47,4250
211.0101,133.92,7702
211.0152,133.95,4037
222.904,131.99,68
222.9247,131.94,927
299.983,132.69,2382
328.9679,130.53,715
370.9049,129.24,131
370.9116,129.17,236
118.9907,140.39,512
118.9945,140.26,352
118.9983,140.24,203
120.9988,140.1,324
121.0026,140.12,292
141.0083,136.31,251
168.9804,136.52,807
168.9984,136.51,1536
169.0029,136.49,938
169.0074,136.43,499
171.9904,136.04,853
171.995,136.17,3006
172.0132,144.43,2712
172.0178,144.5,1501
196.02,135.24,2024
196.0249,135.38,3124
196.0298,135.45,2021
204.9667,133.85,1391
204.9717,134.03,995
204.9766,133.96,330
211.0202,133.9,1744
211.0253,133.97,650
211.9998,133.97,789
212.0048,133.96,818
212.0099,134.06,334
222.9299,132.33,105
232.9198,132.15,53
299.989,132.66,2143
299.9951,132.67,1334
300.0011,132.66,730
301.9466,133.52,303023
301.9526,133.52,356346
301.9587,133.51,274984
301.9647,133.51,176987
301.9707,133.49,115432
301.9768,133.5,83031
301.9828,133.52,62416
303.9347,133.21,2886
320.9757,132.21,1150
320.9819,132.41,2483
320.9881,132.39,2446
320.9943,132.38,1421
321.0005,132.42,862
321.9654,132.06,858
