Cluster,m/z_ion_center,DT_center,Peak Intensity,Amplitude_mz,Amplitude_dt
118,428.98895,7.189999999997711,271,271.0,271.0000005459338
119,591.01659,7.189985929045522,49,49.0,49.000000040639705
120,141.01246,7.652684418590343,5522,5522.0,6000.057847595502
121,248.97202,7.25,26,26.0,26.0
122,328.9742499999999,7.413527278035295,92,92.0,102.40527834116983
123,59.01096,7.556432122228601,251,251.0,251.17384847900416
124,72.98977,7.37,26,26.0,26.0
125,116.96560999999998,7.629120524349669,2788,2788.0,2763.9184438286834
126,118.96416999999998,7.647028347750779,885,885.0,895.7831138958337
127,118.97932,7.404576271186441,54,54.0,54.0
128,141.00834,7.653835854162057,2699,2699.0,2759.8173898646855
129,588.99261,7.473636363636363,61,61.0,61.0
130,589.0010399999999,7.429998864559424,63,63.0,63.000000133234145
131,589.00946,7.42999972511821,61,61.0,61.00000003528895
132,92.93296,7.49,33,33.0,33.998246147788834
133,119.94319,7.58861127420357,171,171.0,167.6260686889795
134,142.0161,7.7382312112704135,234,234.0,243.26033636130762
135,143.98821,7.55,74,74.0,74.0
136,428.96018000000004,7.6437876522563935,162,162.0,174.52559468378922
137,72.99274,8.05822580110126,46,46.0,37.00886417971467
138,92.92291,7.61,21,21.0,21.0
139,94.92154000000001,7.749778846100305,74,74.0,70.20064776413548
140,328.96166000000005,7.670235483331583,33,33.0,33.00000010327625
141,428.95299,7.609999999999999,24,24.0,24.0
142,428.96737,7.714317620523109,55,55.0,45.82217316070547
143,94.92492000000001,8.351263184308051,223,223.0,211.78956591032954
144,116.97312,8.004825667762958,63,63.0,42.36465033350234
145,528.95303,7.87957084614713,197,197.0,210.31944456132464
146,528.96101,7.802184629151403,129,129.0,144.21783504544734
147,528.969,7.790000073378456,27,27.0,27.000000012310423
148,61.99210000000001,26.866266136665697,6045,6045.0,4331.496831949689
149,116.98438,7.85,32,32.0,32.0
150,142.02437,7.85,30,30.0,30.0
151,267.99187,7.8500000000000005,28,28.0,28.0
152,59.016289999999984,14.178076197109458,617,617.0,253.79514852444967
153,72.99570999999999,8.933077352147263,188,188.0,144.011866973891
154,92.92961000000001,8.104513310833719,330,330.0,364.6669021942531
155,92.93296,8.084652141007153,109,109.0,118.27855032609838
156,116.98063,8.030000000000266,33,33.0,33.000000068400404
157,118.97553,7.97,54,54.0,54.0
158,293.16702,8.03414077727959,95,95.0,95.03538742904074
159,59.01895999999999,8.89564323938526,151,151.0,138.95198590567043
160,116.97687000000002,8.11893691272236,113,113.0,113.71277458504075
161,428.97456,8.09,50,50.0,54.52538663326299
162,428.98175,8.150000000009761,46,46.0,46.00000006251211
163,92.9363,8.209999999999999,21,21.0,21.0
164,94.92154000000001,8.209999999999999,23,23.0,23.0
165,94.9283,8.592612431966497,69,69.0,50.89053657085048
166,119.94699,8.328545328518405,115,115.0,124.09771157249126
167,119.95078999999998,8.31828574261828,85,85.0,91.76408148310716
168,119.95459,8.309914617065179,54,54.0,58.43908627243544
169,143.98821,8.45796765740347,143,143.0,151.37174755595186
170,143.99237,8.3399453825592,46,46.0,40.56436295141942
171,293.17297,8.209999999999999,31,31.0,31.0
172,118.96417,8.44,130,130.0,134.75402205391532
173,118.97553,8.338750000000001,75,75.0,75.0
174,119.94319000000002,8.386034851018588,35,35.0,35.000000059236164
175,119.95840000000001,8.373645499707045,48,48.0,48.057237735262014
176,329.97626,8.38570827066278,25,25.0,25.000000044453913
177,61.98664,26.86109122353826,9186,9186.0,4377.10797461154
178,61.99484000000001,9.054939984046548,407,407.0,394.71031951101014
179,61.99757,8.448571428571428,32,32.0,32.0
180,72.99867,8.44,25,25.0,25.0
181,127.00249,8.56,34,34.0,35.90136379614988
182,141.01659,8.56,65,65.0,73.62089978090967
183,143.99654,8.44,46,46.0,46.0
184,366.9837,8.44,27,27.0,27.0
185,59.02163,8.7244136744908,72,72.0,57.14236877303357
186,142.02022999999997,8.683726123365743,78,78.0,73.74317802073065
187,528.96101,8.619489081777436,143,143.0,143.00000017195097
188,528.969,8.6200006294877,242,242.0,242.00000022827743
189,528.97698,8.635503226256022,144,144.0,160.438409058909
190,92.92960999999998,8.890006564966354,330,330.0,329.0599103379547
191,92.93296000000001,8.87421423084425,135,135.0,132.76835400528796
192,116.98062999999999,8.77932158041478,65,65.0,55.13985757217695
193,116.98438,8.74000137723321,22,22.0,22.000000017423886
194,118.97552999999999,8.91226282592451,126,126.0,139.03666979180917
195,528.9849699999999,8.739999953757481,21,21.0,21.000000031271348
196,531.00716,8.739327320910652,205,205.0,205.00000012977813
197,59.010960000000004,8.8,35,35.0,35.0
198,61.99757,8.930989360606205,264,264.0,257.85783897709183
199,72.99274,11.015141380243398,146,146.0,96.39606108119686
200,116.97312,9.03168988293829,229,229.0,246.21929125378304
201,116.97687000000002,8.935988213592031,60,60.0,65.60733655024522
202,143.99237,9.027976708018766,298,298.0,322.18722165566163
203,143.99653999999998,9.010134515781926,140,140.0,140.25359070334005
204,62.0003,8.953187046012394,101,101.0,103.62619446389738
205,141.02071,8.980111753635919,28,28.0,28.0000000565011
206,143.98821000000004,9.2558848560591,171,171.0,132.2623997080025
207,144.00071,8.97134153493478,41,41.0,41.077996331913226
208,146.96977,8.979999965505463,151,151.0,151.00000022418283
209,146.97397,8.978948597205845,97,97.0,97.00000007717368
210,146.97818,9.057871153041784,85,85.0,95.77551547318588
211,286.98194,8.980000053895143,65,65.0,65.00000013731862
212,72.99867,9.144222857074967,62,62.0,67.23140502674484
213,118.97932,9.040000000000001,46,46.0,46.0
214,141.01659,9.100514044751032,31,31.0,31.000000019863887
215,146.96556,9.099572316840417,25,25.0,25.000000010417082
216,121.94008,9.314302499645947,83,83.0,91.785671611478
217,121.94392,9.220000496467307,24,24.0,24.00000000918465
218,146.98239,9.159999999999998,22,22.0,22.0
219,59.01095999999999,9.453505907957464,162,162.0,177.40581867409125
220,92.92626,9.428792244848772,224,224.0,236.84871575918083
221,116.96561,9.508196718880317,1526,1526.0,1644.2904485396225
222,116.96936000000001,9.495514431878396,641,641.0,552.7233969790377
223,118.96416999999998,9.552425414638646,524,524.0,544.7068604936145
224,141.00834,9.499984291745577,1851,1851.0,1956.910093516969
225,141.01246000000003,9.539871425035436,662,662.0,722.7656886638778
226,142.01609999999997,9.350000000000001,28,28.0,28.0
227,146.96135000000004,9.402671570759935,329,329.0,358.80397011024417
228,428.96018,9.340000000001263,25,25.0,25.00000001849571
229,473.9677,9.339999357771763,283,283.0,283.00000018404614
230,94.92154,9.427433204136598,79,79.0,86.09578094244893
231,119.94318999999999,9.569542219573723,152,152.0,170.25090187847653
232,142.02023,9.42843488485243,88,88.0,92.41407810615992
233,142.02437,9.4,23,23.0,23.0
234,146.95714000000004,9.453547266021856,147,147.0,144.53602083928317
235,216.98788999999996,9.459999962604186,80,80.0,80.00000011464664
236,328.96795000000003,9.533215727990996,155,155.0,155.37675517691954
237,401.93826,9.459999966443695,21,21.0,21.000000048256652
238,572.97566,9.459999887943988,29,29.0,29.000000024847665
239,59.02163,9.52,49,49.0,49.0
240,528.94504,9.580000000498702,2113,2113.0,2113.0000063484813
241,528.95303,9.580000088415334,556,556.0,556.0000005350915
242,94.9283,9.64,24,24.0,24.0
243,528.96101,9.69999999999966,150,150.0,150.00000017611328
244,528.97698,9.680011763071025,61,61.0,71.51450081200153
245,573.01721,9.69998797318478,30,30.0,30.000000016598715
246,72.99571,9.919038859246564,163,163.0,147.754056442048
247,143.99237,9.895481885206518,76,76.0,77.92015511892775
248,528.969,9.819999845589148,34,34.0,34.00000002161325
249,528.98497,9.819999811209437,98,98.0,98.00000003734584
250,59.01895999999999,9.879999999999999,35,35.0,35.0
251,116.97312,12.762596214449756,2504,2504.0,1037.5779029686237
252,116.97687,10.958047104343997,656,656.0,687.2853956423114
253,116.98063,9.990752169290982,70,70.0,76.24229889467496
254,141.02071,9.879999999999999,29,29.0,29.0
255,142.02437,9.973625149923773,102,102.0,106.28760528784338
256,143.98821,9.909488513449292,73,73.0,57.43590132565739
257,146.96556,10.202420227770016,62,62.0,60.81018304376059
258,146.96977,10.075792713308767,61,61.0,56.58417839266082
259,61.99757000000001,10.433423810813203,173,173.0,170.97967626211644
260,92.93296,10.0,26,26.0,26.0
261,142.02023,10.0,60,60.0,60.0
262,143.99654,9.992727272727272,37,37.0,37.0
263,216.99300000000002,10.07648649254959,127,127.0,141.36188945909677
264,216.99811999999997,10.060422686434862,44,44.0,44.000000044257426
265,94.92492000000001,10.12,23,23.0,23.0
266,118.97174999999999,10.792143103591156,298,298.0,291.5412682451036
267,119.94699000000001,10.310069930069929,31,31.0,31.0
268,589.04317,10.180000000000778,82,82.0,82.00000007436927
269,589.0516,10.17993466507636,60,60.0,60.000000012466906
270,59.01896,10.318805813254441,93,93.0,96.7533299743419
271,141.01659000000004,12.890863643468427,2968,2968.0,2307.3255097585734
272,146.96135,10.342040178480334,40,40.0,42.67812286641846
273,199.00620000000004,10.24,21,21.0,21.0
274,286.98194,10.24,33,33.0,33.0
275,328.96795,10.300623240848603,21,21.0,21.00000001487381
276,328.99314,10.300000000012197,46,46.0,46.000000109679036
277,528.95303,10.40991591514509,146,146.0,149.6524863459468
278,59.02163,10.427636479742068,49,49.0,49.11168239029968
279,116.96935999999998,12.625229327399238,8191,8191.0,2101.220864003327
280,118.96795999999999,12.032001587225757,959,959.0,482.10332158131143
281,141.02071,12.57998236379918,2103,2103.0,2086.579187483812
282,311.16793,10.424616168979176,80,80.0,75.90071951081427
283,589.01789,10.419989306546386,26,26.0,26.00000001985572
284,94.92492,10.677391364608452,199,199.0,202.61338324775917
285,94.9283,10.48,22,22.0,22.0
286,143.99236999999997,10.951473979359927,183,183.0,182.5380381123265
287,297.15745,10.502702702702702,51,51.0,51.0
288,528.969,10.604700390221177,51,51.0,55.62881977969755
289,72.99274,11.339409906253719,239,239.0,220.23148647104313
290,72.99570999999999,11.193704496788008,165,165.0,165.0
291,92.92626,11.364905673787991,366,366.0,274.4724499108026
292,92.92961,9.36069530848086,198,198.0,122.85976539187864
293,116.96561,10.6,35,35.0,35.0
294,116.98063,10.891869660635923,164,164.0,155.84391070154814
295,116.98438000000002,10.872546706571308,78,78.0,68.97613560290573
296,118.97552999999999,10.755183380958194,126,126.0,117.81081144448721
297,143.99654,10.6,23,23.0,23.0
298,297.15147,10.6,24,24.0,24.0
299,572.97566,10.66002961278195,62,62.0,62.00000002953447
300,572.98397,10.659999999999998,0,0.0,0.0
301,572.99228,10.660001636907305,99,99.0,99.00000015893276
302,59.02163,11.227684113347962,49,49.0,52.59459003854748
303,92.93296,11.552861187969308,33,33.0,36.77059692117224
304,116.98814,10.84,21,21.0,21.0
305,121.94392,10.959999999999996,51,51.0,56.651786920502886
306,141.02483,12.497823535837997,1063,1063.0,1022.7874396441744
307,142.02023,10.84,52,52.0,57.2766166824911
308,328.98684,10.899998688412843,26,26.0,26.00000001666048
309,118.97932,10.96,25,25.0,25.0
310,119.94699,10.959999999999999,28,28.0,28.0
311,143.98821000000004,11.159398738468642,84,84.0,76.79273895735318
312,146.96135,11.132489352649138,113,113.0,109.42488593641525
313,216.993,11.020001886592707,49,49.0,49.000000075531545
314,514.9928,11.02000000465343,45,45.0,45.000000151166894
315,515.00068,11.019999950266444,48,48.0,48.00000004931033
316,141.01245999999995,11.441382225953674,17385,17385.0,18572.93919653255
317,142.02437,11.073571428571428,31,31.0,31.0
318,330.9798,11.08,25,25.0,25.0
319,428.9601799999999,11.314095632619447,281,281.0,289.1623081235377
320,92.92291,11.11267307043821,24,24.0,24.057618748544385
321,94.92154,11.294946257061191,114,114.0,104.6078439458193
322,116.96561000000001,11.410199795595277,823,823.0,842.4621879811616
323,118.96416999999998,11.445289367931471,577,577.0,581.295705301193
324,141.00834,11.460534948330876,1238,1238.0,1302.5723644345442
325,301.94658,11.20736842105263,32,32.0,32.0
326,311.16793,11.2,25,25.0,25.0
327,328.97425000000004,11.43849352388424,790,790.0,844.2397627154575
328,506.94076000000007,11.259997019135955,382,382.0,382.000000602909
329,528.95303,11.403270812810947,246,246.0,258.05257498590066
330,589.00104,11.260000183398882,59,59.0,59.0000000233417
331,589.00946,11.260000042012038,50,50.0,50.0000000369228
332,59.01096000000001,11.451853688973529,257,257.0,272.2718139396582
333,142.0161,11.567312921014773,69,69.0,58.48843321488021
334,216.98277,11.48063712798031,129,129.0,133.71913149506602
335,328.96795000000003,11.434531794307139,470,470.0,504.3822659020797
336,528.94504,11.379999738526891,30,30.0,30.00000003156355
337,119.94318999999997,11.474545454545455,47,47.0,47.0
338,141.02896,12.548555343117785,591,591.0,532.7093643216347
339,142.02023,11.435670103092784,52,52.0,52.0
340,528.96101,11.5,0,0.0,0.0
341,528.969,11.500106744501688,25,25.0,25.000000075997797
342,528.97698,11.499999939568337,46,46.0,46.00000002145186
343,572.96734,11.44,35,35.0,35.0
344,72.99867,11.566122448979591,27,27.0,27.0
345,116.98063,12.377103172653538,747,747.0,626.2569844309634
346,141.03308,11.56,43,43.0,43.0
347,506.94858,11.619996300014257,22,22.0,22.00000002322745
348,528.98497,11.559999999999999,61,61.0,61.0
349,528.99296,11.559999999999999,21,21.0,21.0
350,116.97686999999999,12.441127747690517,1742,1742.0,1723.7300280557872
351,327.97376,11.740002676430352,23,23.0,23.000000017263332
352,428.96737,11.739997429814157,63,63.0,63.00000004596419
353,428.97455999999994,11.73999446661703,31,31.0,31.000000014465293
354,116.98438,12.176884698482674,198,198.0,181.83772095914432
355,118.97174999999999,12.524471466366142,757,757.0,691.6769260987224
356,143.99237,11.859084989384236,50,50.0,49.320055769554116
357,146.96977,11.799999999999999,24,24.0,24.0
358,311.17405,11.860000004368336,21,21.0,21.000000038422716
359,569.95458,11.870909090909091,65,65.0,65.0
360,844.59774,11.8,21,21.0,21.0
361,59.01895999999999,12.054921915414827,86,86.0,78.41134356206082
362,59.02163000000001,11.930588235294119,30,30.0,30.0
363,61.994839999999996,12.568011936603906,339,339.0,303.2774414031214
364,94.92492,12.296544850498337,92,92.0,92.0
365,142.02023,11.920000000000002,27,27.0,27.0
366,143.99654,11.92,22,22.0,22.0
367,92.93296,12.177447286349455,63,63.0,62.21598443177038
368,134.86373,12.16691722249943,581,581.0,709.3046164327117
369,328.99314,12.30636781160546,193,193.0,166.3469451394985
370,61.99757,12.493615790006833,146,146.0,133.35906305814962
371,134.86776000000003,12.186032945063767,359,359.0,379.7012946961666
372,136.86288,12.211202745263387,49,49.0,49.18426184184612
373,141.03308,12.48832730604193,168,168.0,166.5101122924153
374,301.95261,12.159999999999998,22,22.0,22.0
375,328.98055000000005,12.353207087046917,852,852.0,985.1562281072714
376,328.9868399999999,12.31584423695776,470,470.0,529.2918988103819
377,328.99944,12.220008223280901,40,40.0,40.000000023486905
378,72.98977,12.280000000000001,24,24.0,24.0
379,158.90816,12.550621592903115,2814,2814.0,2980.611060186378
380,216.98788999999996,12.339999999664368,26,26.0,26.00000003166751
381,216.99299999999997,12.34000000033378,27,27.0,27.000000037916084
382,329.98257,12.340000033525028,87,87.0,87.0000000463418
383,329.98888,12.339999999995273,35,35.0,35.00000002838518
384,118.96417000000001,13.3693509516073,116,116.0,119.75972274465519
385,118.97553,12.552194574743487,183,183.0,173.3852399817609
386,143.98821,12.4,24,24.0,24.0
387,158.90378,12.54892385433774,125,125.0,131.73876287741135
388,158.91253999999998,12.553912370655304,2981,2981.0,3163.5637238785052
389,158.91691,12.54867403913225,1414,1414.0,1499.7955217645654
390,158.92129,12.525537314381141,397,397.0,497.5780295866797
391,160.90577,12.553380302182175,1471,1471.0,1566.3736435813723
392,160.91017999999997,12.560593496439461,4980,4980.0,5121.442729996151
393,160.91458000000003,12.557010585229602,2824,2824.0,2942.947515337263
394,160.91898,12.558150105971906,816,816.0,866.7617161678778
395,286.98194,12.460000097697792,61,61.0,61.00000003768508
396,589.00946,12.460000000000234,50,50.0,50.00000014661131
397,94.92829999999998,12.56321544391217,37,37.0,37.24565500290755
398,118.97931999999999,12.543684210526317,53,53.0,53.0
399,121.94775,12.58,42,42.0,42.0
400,142.02023,12.580012596981707,25,25.0,25.00000001913731
401,160.92338999999998,12.52692307692308,116,116.0,116.0
402,528.96101,12.580044867845993,71,71.0,71.00000004404332
403,118.98311,12.639999999999999,22,22.0,22.0
404,330.9798,12.639999999999999,43,43.0,43.0
405,529.96761,12.64,37,37.0,37.827420555544144
406,529.9756,12.695862068965516,62,62.0,62.0
407,94.93168,12.76,47,47.0,47.0
408,141.01245999999998,13.377824599794225,14661,14661.0,14920.663342327087
409,248.95557999999994,13.054897776029948,344919,344919.0,344993.27885639813
410,248.96106,13.062541959568595,3622476,3622476.0,3626585.9235355165
411,248.96653999999995,13.06022113675973,9186034,9186034.0,9245483.938303519
412,248.97201999999996,13.061331436885338,11028847,11028847.0,11041520.902220408
413,248.9775,13.058478528223358,8105364,8105364.0,8156982.504246992
414,248.98297,13.058239682440874,5155429,5155429.0,5162450.229467474
415,248.98845,13.055508249942239,3492245,3492245.0,3523348.667706798
416,248.99393,13.061811105591923,2582326,2582326.0,2589648.401321196
417,248.99940999999995,13.060018050411374,1915590,1915590.0,1922192.2234553979
418,249.00489,13.05507639094968,1478774,1478774.0,1482315.7085460953
419,249.01037,13.054610338711264,1117747,1117747.0,1122013.6203838007
420,249.95907999999997,13.070156507607278,34345,34345.0,34763.02318533745
421,249.96456999999998,13.065934207834536,122665,122665.0,122897.47291705772
422,249.97006,13.06408299817155,225630,225630.0,225894.35452415206
423,249.97555000000003,13.0609738227317,230325,230325.0,230724.45731882067
424,249.98102999999998,13.05906479825904,150545,150545.0,150693.03648969327
425,249.98652,13.05912291322441,85423,85423.0,85134.11876268499
426,428.97456,12.861960356094638,61,61.0,66.88369297809442
427,428.98175,12.819999990171002,57,57.0,57.00000006201164
428,428.98894999999993,12.879999999999999,73,73.0,77.99282668084045
429,428.99614,12.762399999999998,52,52.0,52.0
430,238.96187,12.988869388485375,445,445.0,482.91864175872706
431,238.96723000000003,12.979363469710616,319,319.0,339.6821597037008
432,248.93915000000004,13.074540019324223,3731,3731.0,3914.8738582111355
433,248.94463,13.074328381868298,6961,6961.0,7181.7473596233585
434,248.95010000000002,13.072142883665842,17387,17387.0,17743.510351619145
435,249.01585000000003,13.055928602894602,937000,937000.0,933803.1820545541
436,249.02132000000003,13.055990646300272,749732,749732.0,742942.6367402745
437,249.0268,13.056739807326363,671452,671452.0,665067.4332413968
438,249.03227999999996,13.056946880378375,604769,604769.0,599221.5818664415
439,249.03776,13.056643177024522,540184,540184.0,535114.4125883827
440,249.04324,13.056449940533842,463005,463005.0,458799.96778340294
441,249.04871999999997,13.056364072404655,400565,400565.0,396838.98689836054
442,249.05420000000004,13.05633011276112,296724,296724.0,294069.2708087781
443,249.05968,13.055734086600607,182647,182647.0,180961.50702787997
444,249.06515999999996,13.056428082834548,172543,172543.0,170998.00952518778
445,249.07064,13.056981926059334,182405,182405.0,180670.5958633326
446,249.07611,13.05665109122202,132758,132758.0,131623.54118828577
447,249.08159,13.055894542219134,112267,112267.0,111353.58846993012
448,249.08706999999998,13.054890578752813,100504,100504.0,99807.93104290421
449,249.09255,13.055718562341475,82885,82885.0,82321.38031538592
450,249.09802999999997,13.057379019989659,76171,76171.0,75620.7065174715
451,249.10351,13.055644154876193,70065,70065.0,69596.58573639857
452,249.10899000000003,13.055053337762454,55370,55370.0,55101.15258181591
453,249.11447,13.057102309526975,49136,49136.0,48832.37231157442
454,249.11995,13.058204258894508,44826,44826.0,44671.22753741567
455,249.12543,13.056666525698297,42094,42094.0,41931.66113719485
456,249.13091,13.056962216399041,38910,38910.0,38752.549024472566
457,249.13638999999998,13.058064124284943,34794,34794.0,34699.61568041639
458,249.14187,13.059097020916926,28705,28705.0,28628.647593093865
459,249.14734999999996,13.057574325528453,28075,28075.0,27987.16229874397
460,249.15283000000002,13.05533464578035,26703,26703.0,26728.934521609845
461,249.15830999999997,13.056981856518224,23900,23900.0,23844.60726170397
462,249.16379000000003,13.057224330971403,22323,22323.0,22344.33738002513
463,249.16927,13.054358211034753,22030,22030.0,22052.22485595731
464,249.17475,13.05386179747841,18908,18908.0,18940.527998447687
465,249.18023,13.055300127724054,18431,18431.0,18404.12188370728
466,249.18571000000003,13.05780703606565,18613,18613.0,18543.332821993637
467,249.1912,13.055847756920402,17757,17757.0,17752.172480001806
468,249.19668000000001,13.057981585982041,15444,15444.0,15416.801358556004
469,249.20215999999996,13.055934704871342,14830,14830.0,14787.268403037651
470,249.20764000000003,13.056477328925816,14386,14386.0,14279.23359679391
471,249.21312,13.056938826874879,15479,15479.0,15412.91172447014
472,249.21860000000004,13.05625220482536,14210,14210.0,14207.963869112229
473,249.22408000000001,13.058139874658814,13213,13213.0,13220.5683512555
474,249.22956,13.057455015775606,12367,12367.0,12389.636059772027
475,249.23503999999997,13.056215534864796,13100,13100.0,13131.382468763608
