Data file,C:\Users\grego\OneDrive - University of North Carolina at Chapel Hill\Academic\Data from Kimberley\O157_Lip_Allion_5bit_Pos_001_DI3.d.DeMP.d
Frame range,11,82
Frame time range,0.281,1.780,minutes
Drift units,Drift Time (ms)
Mass units,Mass-To-Charge (m/z)
Fragmentation Filter: High Only
Mass,Drift,Abundance
103.16402,0.48,1
103.16755,0.48,3
103.17108,0.48,4
109.11836,0.48,19
156.03550,0.48,29
156.03984,0.48,453
156.04419,0.48,214
156.04853,0.48,203
156.05287,0.48,158
156.05721,0.48,231
156.06155,0.48,124
156.06590,0.48,149
156.07024,0.48,86
156.07458,0.48,18
156.07892,0.48,16
156.08326,0.48,8
175.11571,0.48,169
175.12951,0.48,407
175.13411,0.48,0
175.13871,0.48,287
175.14331,0.48,484
175.14791,0.48,290
175.15251,0.48,86
175.15711,0.48,217
175.16171,0.48,145
175.16631,0.48,79
175.17091,0.48,16
175.17551,0.48,0
175.18011,0.48,42
175.18471,0.48,4
175.18931,0.48,19
175.19391,0.48,0
175.19851,0.48,2
192.04098,0.48,378
192.04580,0.48,289
192.05061,0.48,97
192.05543,0.48,133
192.06025,0.48,98
192.06506,0.48,105
192.06988,0.48,86
192.07470,0.48,44
192.07951,0.48,17
192.08433,0.48,5
210.03895,0.48,31
210.04399,0.48,27
244.15469,0.48,408
244.16012,0.48,626
244.16555,0.48,582
244.17098,0.48,92
244.17642,0.48,0
244.18185,0.48,52
244.19814,0.48,58
244.20357,0.48,18
244.20900,0.48,54
526.27102,0.48,18
526.27900,0.48,26
526.28697,0.48,29
526.29494,0.48,4
526.31886,0.48,1
528.20238,0.48,77
696.42677,0.48,10
696.43595,0.48,8
696.44512,0.48,8
1025.65013,0.48,13
103.12166,0.52,163
103.14284,0.52,9
103.14637,0.52,0
103.14990,0.52,2
103.15343,0.52,4
103.15696,0.52,5
103.16049,0.52,4
103.16402,0.52,1
103.16755,0.52,3
103.17108,0.52,4
109.11836,0.52,19
156.03550,0.52,29
156.03984,0.52,696
156.04419,0.52,436
156.04853,0.52,313
156.05287,0.52,215
156.05721,0.52,262
156.06155,0.52,156
156.06590,0.52,255
156.07024,0.52,142
156.07458,0.52,41
156.07892,0.52,16
156.08326,0.52,8
175.11571,0.52,169
175.12951,0.52,517
175.13411,0.52,76
175.13871,0.52,229
175.14331,0.52,465
175.14791,0.52,315
175.15251,0.52,203
175.15711,0.52,208
175.16171,0.52,99
175.16631,0.52,42
175.17091,0.52,23
175.17551,0.52,0
175.18011,0.52,35
175.18471,0.52,4
175.18931,0.52,9
175.19851,0.52,2
192.04098,0.52,378
192.04580,0.52,289
192.05061,0.52,97
192.05543,0.52,133
192.06025,0.52,98
192.06506,0.52,105
192.06988,0.52,86
192.07470,0.52,44
192.07951,0.52,17
210.03895,0.52,31
244.15469,0.52,408
244.16012,0.52,857
244.16555,0.52,832
244.17098,0.52,234
244.17642,0.52,0
244.18185,0.52,126
244.19814,0.52,58
244.20357,0.52,18
244.20900,0.52,54
325.27305,0.52,347
325.31066,0.52,19
325.31693,0.52,19
526.27102,0.52,20
526.27900,0.52,15
526.28697,0.52,11
526.29494,0.52,4
526.31886,0.52,1
528.20238,0.52,77
696.42677,0.52,10
696.43595,0.52,8
696.44512,0.52,8
1025.65013,0.52,13
109.09658,0.56,77
109.10021,0.56,61
109.10384,0.56,51
109.10747,0.56,37
109.11110,0.56,26
109.11473,0.56,17
109.11836,0.56,12
109.12200,0.56,9
156.03984,0.56,647
156.04419,0.56,529
156.04853,0.56,296
156.05287,0.56,189
156.05721,0.56,233
156.06155,0.56,120
156.06590,0.56,236
156.07024,0.56,111
156.07458,0.56,41
156.07892,0.56,6
156.08326,0.56,2
175.10652,0.56,32
175.11571,0.56,859
175.12951,0.56,211
175.13411,0.56,76
175.13871,0.56,141
175.14331,0.56,415
175.14791,0.56,407
175.15251,0.56,397
175.15711,0.56,280
175.16171,0.56,69
175.16631,0.56,15
175.17091,0.56,24
175.17551,0.56,0
175.18011,0.56,34
175.18471,0.56,0
175.18931,0.56,20
175.19391,0.56,14
226.02297,0.56,32
226.02819,0.56,0
226.03342,0.56,23
244.15469,0.56,216
244.16012,0.56,544
244.16555,0.56,552
244.17098,0.56,234
244.17642,0.56,0
244.18185,0.56,126
244.20900,0.56,24
244.21444,0.56,13
325.26051,0.56,26
325.26678,0.56,219
325.27305,0.56,933
325.27932,0.56,212
325.28559,0.56,141
325.29185,0.56,186
325.29812,0.56,88
325.30439,0.56,48
325.31066,0.56,79
325.31693,0.56,74
325.34828,0.56,14
502.33407,0.56,29
526.27102,0.56,20
526.27900,0.56,15
526.28697,0.56,11
526.29494,0.56,4
109.09658,0.60,77
109.10021,0.60,61
109.10384,0.60,51
109.10747,0.60,37
109.11110,0.60,26
109.11473,0.60,17
109.11836,0.60,12
109.12200,0.60,9
156.03984,0.60,487
156.04419,0.60,575
156.04853,0.60,407
156.05287,0.60,214
156.05721,0.60,205
156.06155,0.60,131
156.06590,0.60,197
156.07024,0.60,69
156.07458,0.60,23
156.10063,0.60,1
175.10652,0.60,32
175.11571,0.60,1066
175.12951,0.60,109
175.13411,0.60,76
175.13871,0.60,77
175.14331,0.60,467
175.14791,0.60,524
175.15251,0.60,521
175.15711,0.60,374
175.16171,0.60,82
175.16631,0.60,36
175.17091,0.60,45
175.17551,0.60,9
175.18011,0.60,23
175.18931,0.60,20
175.19391,0.60,14
226.02297,0.60,32
226.02819,0.60,0
226.03342,0.60,49
244.16012,0.60,230
244.16555,0.60,251
244.17098,0.60,234
244.17642,0.60,0
244.18185,0.60,126
244.21444,0.60,13
325.26051,0.60,26
325.26678,0.60,366
325.27305,0.60,1254
325.27932,0.60,455
325.28559,0.60,251
325.29185,0.60,336
325.29812,0.60,183
325.30439,0.60,122
325.31066,0.60,155
325.31693,0.60,154
325.32320,0.60,23
325.34828,0.60,24
502.33407,0.60,29
526.27102,0.60,1
526.27900,0.60,15
526.29494,0.60,4
109.09658,0.64,77
109.10021,0.64,61
109.10384,0.64,51
109.10747,0.64,37
109.11110,0.64,26
109.11473,0.64,17
109.11836,0.64,12
109.12200,0.64,9
156.03984,0.64,421
156.04419,0.64,570
156.04853,0.64,498
156.05287,0.64,294
156.05721,0.64,238
156.06155,0.64,176
156.06590,0.64,152
156.07024,0.64,12
