m/z,Retention Time (sec),Drift Time (ms),Intensity,count
279.16047465804934,712.3886399999927,22.471478400000002,25257.0,25
311.1655209545486,737.4648846869203,27.662009482951024,4564457.0,1613
589.0063045379117,715.2518809523757,26.664773999999998,27513.0,84
309.17158785998,716.5432068965504,23.213313103448275,38876.0,29
220.02269625595918,759.225257028114,17.023278746987952,256016.0,249
279.16047465804934,725.5017758620696,22.43471710344828,86415.0,58
277.1803350700675,732.672779411764,22.93247064705882,124363.0,136
134.86411363103193,750.3476647058827,12.294066070588235,11009.0,170
358.03209883908727,732.5340800000112,21.76714848,18372.0,25
469.15425255888687,739.2871864406802,29.262825152542373,12770.0,118
645.3207928479801,737.1834963503659,35.83727439416059,17431.0,137
311.15249139763057,736.605100000002,2.0842416,13410.0,30
233.04052023750333,737.5523461538446,18.262452923076925,15054.0,26
302.04685718264966,748.1288823529412,20.158942588235295,10838.0,34
219.02712930970142,740.62037499999,17.428572,13407.0,8
358.03209883908727,743.5635151515145,21.771649454545454,26084.0,33
141.01602965883794,827.967925662572,26.49769971040724,851878.0,3094
397.2208228549636,745.960383333333,26.318541200000002,36783.0,60
232.04520908194155,774.2636988847602,18.338084342007434,189492.0,269
441.2474938956062,752.2119999999998,27.701216727272726,18591.0,77
325.18230695813656,772.3493966398828,27.70860287509131,3585211.0,1369
219.02777153406362,758.872875,17.51841,11779.0,8
291.195546029335,771.4017352941181,23.333218588235294,126065.0,136
293.1770625590175,763.2605428571426,22.947191999999998,127395.0,70
358.03209883908727,773.205537499998,21.772239300000003,61382.0,80
219.02841375842576,770.0834210526347,17.40020210526316,32029.0,19
302.04685717665876,776.4433823529406,20.162465647058827,11947.0,34
134.86405295255437,800.4325642458124,12.290909094972067,16860.0,179
339.197412866876,804.4325852047588,25.948822161162486,1362462.0,757
305.2109736513011,800.4050075188002,23.854128,81908.0,133
726.536673314478,852.9672973805865,36.655011402157164,271888.0,649
358.03209883908727,801.8071475409895,21.747668852459018,45945.0,61
411.3195498275622,801.0524487179492,27.694675076923076,22333.0,78
141.01675371867475,808.354504672895,14.617006429906542,10526.0,214
219.02841375842578,800.6589999999975,17.428572,12992.0,8
220.0223351062624,847.0142666666669,17.029081852631577,284755.0,285
784.5048526486001,842.401584210526,38.157193199999995,32858.0,380
232.04526805750677,859.2493292383289,18.346670742014744,320226.0,407
358.03209883908727,817.7702777777866,21.76076,13008.0,18
319.2272278657672,826.8641754385916,24.563075157894737,35313.0,114
321.20765973166505,821.2157777777734,24.09432977777778,15513.0,27
116.97226898451169,853.4202642335752,29.86066482919708,58452.0,685
357.0358807164812,824.3326470588175,21.772503529411765,12025.0,17
788.5382281711769,874.14380352645,38.62264606549118,117868.0,397
481.32711706945634,828.9442727272698,30.43758109090909,15578.0,77
675.5605469608893,862.3591154929588,35.84477151549296,66998.0,355
742.5326785925506,864.2110535117063,37.26764676923077,67420.0,299
134.86377481956944,908.8149607577831,12.292691171853855,126649.0,739
141.015741902756,838.4634649446463,12.913687616236162,14296.0,271
141.0160917308114,844.268470198676,4.495866357615894,15880.0,302
255.23082944220113,906.461971214019,22.31625392740926,883761.0,799
219.02798560885103,837.644499999995,17.428572,18779.0,12
337.23175988699154,837.6899999999928,25.46855668965517,14407.0,58
486.96700530878513,858.5912380952385,26.779329333333333,12275.0,126
614.4490343638288,862.6861391752581,33.94271047422681,15797.0,194
116.97227800675745,866.847074401012,7.731732438839848,34920.0,793
358.03209883908727,850.7309069767438,21.717117767441863,27051.0,43
281.24662485246347,858.8773282442758,23.312160916030532,116460.0,131
345.08475434902704,881.3414268774725,25.558023272727272,50763.0,253
219.02660041905023,851.8077058823505,17.54483294117647,23222.0,17
473.275928627408,854.1257589285713,30.7748625,61952.0,112
141.0165943611746,866.4134851063839,14.615686876595746,11562.0,235
141.0158319237067,869.198574380163,6.077800561983471,11350.0,242
528.3305780199371,872.029499999999,30.66263875862069,11627.0,58
572.3378354658412,888.259401015232,32.043132060913706,38765.0,197
141.01651210692725,880.2043133333373,51.381479893333335,18752.0,450
325.1860556053044,927.5212749196182,24.99210351125402,136600.0,622
464.30822565151004,891.5683858921195,28.665156149377594,53746.0,241
381.36931139590143,881.422604938277,27.270824,11422.0,81
870.6172008635809,890.7591948717997,41.297837538461536,17276.0,195
219.02841375842578,875.9451111111067,17.248896,16223.0,9
669.4499427455178,878.3086164383581,35.21813687671233,11676.0,73
630.9493465420632,886.8063636363701,24.925961454545455,10612.0,66
529.3274975997305,888.9687023809593,30.607664,31652.0,84
311.1842582886598,940.0046201834888,24.48604747155963,190244.0,545
835.5278056626374,897.4799630769269,39.41962441846154,264005.0,325
283.2629765889749,924.2673339011964,23.496845764906304,1366888.0,587
